,formula,bec_odd,coord_env,sym,spgnum,Eg,volume,eng/atom,Gvoigt,kvoigt,poisson,cauchy,sxx,syy,szz,sxy,syz,sxz,exx,eyy,ezz,odd_atom,atcharge,zxx,zyy,zzz,a,b,c,a^-2,b^-2,c^-2,alpha,beta,gamma,E_p,E_a,E_g,group,period,E_aff,block,R_vdw,R_at,atmass,atnum
mp-976280,LiBr,False,T:4,hexagonal,186,4.9350000000000005,103.42287409704498,-3.341830465,8.0,18.0,0.3,8.0,30.0,30.0,31.0,7.0,7.0,7.0,4.762892065642017,4.76288993434235,4.965801000000001,3,35,-1.0138936216575125,-1.0138936216575125,-1.0372001355369718,4.136240908590181,4.136240908590181,6.613636362556024,0.05845051591288494,0.05845051591288494,0.02286227135523308,90.0,90.0,119.99999999957922,2.96,15.88,0.2412578,17,4,3.3635882000000006,p,185.0,,79.904,35
mp-11019,GaCuO2,False,T:4,hexagonal,194,0.7844999999999995,90.81321381223702,-5.5853751275,68.0,158.0,0.33,50.0,223.0,223.0,448.0,30.0,30.0,72.0,11.981666433229078,11.98167056680611,7.502151,7,8,-2.076773896232219,-2.076773896232215,-2.1753769781594707,2.9693302907036774,2.9693302907036774,11.40365904845597,0.113418260639622,0.113418260639622,0.007689738154861406,90.0,90.0,120.00000000006024,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-23004,CsMgCl3,False,A:2,hexagonal,194,5.126099999999999,298.38841643858757,-3.5618960680000002,7.0,14.0,0.33,6.0,22.0,22.0,48.0,2.0,2.0,7.0,,,,9,17,-1.2447998977942003,-0.8992731979242551,-1.2066573638581968,7.202276176204574,7.202276176204574,6.1532754763512925,0.019277932649129137,0.019277932649129137,0.026411148253444025,90.0,90.0,119.99999999969033,3.16,16.97,0.263803,17,3,3.612725,p,175.0,,35.45,17
mp-11022,ScAgO2,False,T:4,hexagonal,194,2.1186,113.93131782560643,-7.047137685,52.0,127.0,0.36,49.0,196.0,196.0,319.0,13.0,13.0,67.0,16.087314925523962,16.08731807446944,9.260109,7,8,-2.4462432547646236,-2.446243254764629,-2.512875225428135,3.188780239780255,3.188780239780255,12.270778898546524,0.09834466827112583,0.09834466827112583,0.006641340367802885,90.0,90.0,120.00000000061951,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-567290,LaN,False,T:5,hexagonal,186,1.1194999999999995,88.16255275857952,-7.956503465,24.0,91.0,0.38,57.0,127.0,127.0,83.0,36.0,36.0,17.0,16.791000377146762,16.790999622674182,20.397,3,7,-3.5471411794229604,-3.5471411794229613,-3.4851062161464705,4.112853346708292,4.112853346708292,5.808795663943403,0.059117158595346796,0.059117158595346796,0.029636560575792014,90.0,90.0,120.00000000043687,3.04,18.13,0.26493,15,2,-1.4,p,155.0,92.0,14.007,7
mp-7956,Na3Sb,False,H:11,hexagonal,194,0.39859999999999984,239.28622916099215,-2.45415176625,12.0,15.0,0.2,5.0,37.0,37.0,33.0,7.0,7.0,12.0,19.01749873621491,19.017501263586354,14.581000000000007,7,51,-3.0033899613037844,-3.0033899613037853,-2.777777326312473,5.31385180302216,5.31385180302216,9.452719849534958,0.03541450072051039,0.03541450072051039,0.011191451738590487,90.0,90.0,119.99999999988249,2.05,11.74,0.19187739999999998,15,5,1.046,p,206.0,159.0,121.76,51
mp-864954,MgMoN2,False,O:6,hexagonal,194,0.7705000000000002,78.82775456498582,-8.14593695875,184.0,247.0,0.2,-5.0,527.0,527.0,505.0,163.0,163.0,185.0,17.657728306607556,17.657726693399688,10.127396999999997,7,7,-1.6775384863061664,-1.6775384863061673,-1.7957495770568497,2.8993957575850224,2.8993957575850224,10.518442326495519,0.11895563010511992,0.11895563010511992,0.00903851618348238,90.0,90.0,119.99999999939635,3.04,18.13,0.26493,15,2,-1.4,p,155.0,92.0,14.007,7
mp-8098,InGaO3,False,TL:3,hexagonal,194,1.3419999999999996,119.94463093160564,-5.842671873,75.0,170.0,0.31,46.0,262.0,262.0,257.0,89.0,89.0,63.0,10.474126121341405,10.474123878643418,18.111326,9,8,-2.350831810369691,-2.3508318103696935,-1.7281228524182808,3.3281089883915946,3.3281089883915946,12.046888268658321,0.09028277925442547,0.09028277925442547,0.0068904920373755695,90.0,90.0,119.99999999961494,3.44,21.36,0.304575,16,2,1.4611135,p,152.0,,15.999,8
mp-10614,SrLiP,False,TT_1:9,hexagonal,187,0.8281999999999998,68.04033614746585,-3.90164186,32.0,43.0,0.22,7.0,99.0,99.0,97.0,19.0,19.0,37.0,15.181459411198166,15.181461588428583,33.03827099999999,2,15,-3.270801193912213,-3.0151208710346484,-3.0151208710346493,4.245492848708435,4.245492848708435,4.188823366657028,0.05548093515127138,0.05548093515127138,0.05699226340100796,90.0,90.0,120.00000000040167,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-10615,BaLiP,False,TT_1:9,hexagonal,187,0.6981999999999999,77.05993008196977,-3.9570849066666667,26.0,38.0,0.23,5.0,79.0,79.0,85.0,18.0,18.0,28.0,15.570100668232225,15.570101331571761,46.89862800000001,2,15,-3.086083297163503,-3.0860832971635035,-3.881499072478264,4.373126644597139,4.373126644597139,4.44333241033312,0.05228966877569194,0.05228966877569194,0.05065034303823593,90.0,90.0,120.00000000024771,2.19,13.33,0.206931,15,3,0.746607,p,180.0,128.0,30.973761998,15
mp-10616,BaLiAs,False,TT_1:9,hexagonal,187,0.5951,83.02655598491421,-3.7724416233333335,24.0,34.0,0.23,4.0,72.0,72.0,75.0,16.0,16.0,26.0,15.924024459974223,15.924026539607414,44.999421999999996,2,33,-3.7157574947782397,-3.0642539785017266,-3.064253978501726,4.485880498051956,4.485880498051956,4.5251229369167305,0.04969407373386786,0.04969407373386786,0.048835904420768905,90.0,90.0,119.99999999883366,2.18,13.08,0.2068208,15,4,0.804,p,185.0,139.0,74.921595,33
